numunitid,obsval,source_code_description,description
1001,8091,,(od)
2395,8088,millimole per liter,mmol/litre
563,8085,,10*-9.m
1917,8065,per 24 hours,qty/day
72,8041,billion per liter,10'9/l
1874,8027,,Years (age)
3968,7997,parts per million,parts/mill
1567,7958,per 24 hours,/day(Ex-smok)
1958,7956,,Units/ week
227,7930,,MPLU/ml
6484,7869,nanogram of fibrinogen equivalent unit per milliliter,ng/mL FEU
3318,7837,,events per year
3113,7809,,normal
22099,7775,,mU/l   ...
900,7738,,yrs@20/day
717,7719,,Serum cholesterol raised
1149,7669,,eu
915,7650,billion per liter,* 10^9/l
1534,7637,,portions
1434,7600,,hr
733,7552,percent,Hb. A1C < 7% - good control
1453,7491,million per milliliter,million/ml
1751,7488,degree Celsius,deg centigrade
1372,7446,unit per milliliter,gpl-u/ml
2361,7439,micromole per mole of hemoglobin,umol/mol(Hb)
2112,7406,,/mo
1139,7402,per cubic millimeter,/mm3
2571,7397,microgram of fibrinogen equivalent unit per liter,ugFEU/L
9494,7383,,IRAS
2547,7378,per year,per yr
387,7373,milli-international unit per milliliter,m[iU]/mL
356,7329,gram per 24 hours,g/Day
1935,7316,,PY
385,7307,,mosmol/L
2413,7278,,doses/week
1454,7258,score,/45
147,7252,,Histology
1132,7251,trillion per liter,x10\S\12/L
2355,7219,milligram per millimole of creatinine,mg/mmol creatinin
1792,7184,,pack yrs
1474,7169,,grams/week
1083,7053,trillion per liter,* 10^12/L
1891,7051,milliosmole per kilogram,mOs/Kg
4120,7035,,U/L @ 30c
8,7035,score,/-2
9575,7033,,HT-Units
1647,7017,,fits/month
617,6934,,Urine pregnancy test negative
294,6924,,Urine culture
9144,6917,,(N)
887,6913,,times/month
1325,6862,mole per kilogram,mol/kg
17358,6861,,Mills/uL
1125,6827,,Attacks
991,6818,,nights
1596,6779,,/ 100 WBCs
672,6779,millimole,mmols
2604,6728,gram per square centimeter,g/cm2
875,6666,,age
3152,6656,,:
1012,6653,,nebuliser doses
22590,6621,,ug/g (Hb)
584,6608,,Serum lipids normal
437,6596,,U/monthly
1093,6587,,Partners
1940,6557,,uM/M Hb
409,6548,unit per liter,U//L
22105,6520,,Âµg/L
71,6518,trillion per liter,10'12/l
796,6491,nanomole per 24 hours,nmol/24hrs
1328,6487,,cycles
1856,6477,kilogram per square meter,BMI 25-29 - overweight
1698,6473,multiple of the median,MoMs
2064,6465,liter per minute,L.min
1712,6462,score,/50
1398,6459,percent,%@37DegC
1803,6441,,in last year
1136,6412,,10 12/
1162,6366,,treatments
296,6334,,Urine tests
171,6242,,lpm
870,6233,score,/1.5
4247,6218,,Lipoprotein electroph. - LDL
766,6207,per year,/year (3rd party help)
362,6202,picomole,pmol
2215,6195,microgram of fibrinogen equivalent unit per milliliter,ug FEU/ml
439,6189,,oz/week (past)
4470,6168,micromole per liter,UMOLL
6189,6159,,number / month
611,6136,,Urinalysis requested
1905,6080,percent,% HbA0
871,6061,gram per 24 hours,g/24hr
3058,6056,percent,CV
3142,6017,millimole per liter,mmols/L
5741,5966,millimeter per hour,mm/1st Hr.
1644,5960,gram per millimole,g/mmol
728,5903,,weekly
4348,5902,,mmol/l...
4281,5897,per hundred,centile
1676,5883,million per milliliter,x10^6/ml
1160,5882,,episodes/yr
804,5872,score,/12 (5+ signficant)
6635,5866,billion per liter,x 10 ^9/l
6580,5819,billion per liter,x10 9/1
1541,5817,,na
764,5802,minute,minute
1235,5801,million per microliter,x10\S\6/microlitre
172,5768,,Luteinising hormone - L.H.
419,5758,,pounds
1100,5753,,l/min(old)
1014,5699,,units pw
2994,5653,billion per liter,*10^9/1
6631,5630,billion per liter,x 10 ^ 9/l
869,5624,,12
971,5621,,gms
1524,5559,,Pt
581,5553,,Rubella antib. present -immune
14713,5535,,/100 LEU
275,5503,unit per 24 hours,u/day
2410,5496,,d/3mnth
1708,5484,,g/molCrt
4820,5481,percent,%sat
127,5429,,d/wk(mod-exerc)
1897,5413,nanogram per milliliter,nanogrms/ml
1525,5402,million,10*6
1189,5395,million per liter,x 10^6/l
1341,5385,score,risk/16
4479,5377,,IUL
1515,5373,milligram per millimole of creatinine,mg/mmolC
475,5359,,/a
2394,5359,,mcmol/litre
1041,5340,,1/mL
3563,5338,,Follicle stim. hormone - F.S.H
22102,5294,,Ã¦g/l
201,5294,milliliter per 24 hours,ml/24h
2280,5292,millimole per millimole of creatinine,mmol/mmol(creat)
3535,5290,,Plasma C reactive protein
1788,5281,per kilogram body weight,/kg(body wt)
2899,5277,milligram per 24 hours,Mg. daily
3810,5277,,puffs
1190,5240,gram per liter,grms/l
295,5226,,Urine pregnancy test
1163,5222,,week(s)
1955,5208,,in past year
1424,5194,,l/min(EN)
2820,5182,,'
2179,5170,milliliter per minute per 1.73 square meter,mL/mn/1.73sm
742,5168,,Peak flow rate
1684,5133,liter per minute,li/min
872,5129,micromole per 24 hours,umol/24hrs
1721,5110,,Urine protein test
2923,5080,,smear quality
631,5074,,TSH level
1077,5069,,hours/minutes
7708,5034,,Mean platelet volume
3096,5007,,Serum LDL cholesterol level
1700,5005,,{MoM}
837,4964,per trillion,x10^12/
1130,4963,,days/year
777,4956,meter,meters
914,4953,per million,x10^6
2977,4933,calculated,(Calculate
550,4933,,Prostate specific antigen
882,4889,,Au/ml
1485,4823,,mic/ml
1409,4786,,steroid course/12m
1159,4763,,days per year
1984,4761,,/ 4
3861,4708,,GL
1121,4702,,activity score
889,4701,,births
1448,4656,,fits/year
2324,4629,,no/24hr
2294,4621,milliliter per minute,ml/minute
1892,4618,,mm(WEST)
718,4611,,Urine pregnancy test positive
7749,4607,,ml (1mg/1ml)
924,4597,,MSU sent to lab.
622,4590,,Blood urate
2193,4560,degree,deg.
3444,4552,percent,O/E - weight 10-20% over ideal
1714,4549,million per milliliter,10^6/ml
2270,4521,,AMT
1358,4504,,admissions/12m
2524,4503,,/g(Hb)
1737,4496,,"(0.5=tr;1=+;2=++,3=+++)"
6806,4484,,hypos/month
858,4455,,GPLU
1731,4453,,(0.5=tr;1=+;2=++;3=+++)
3671,4444,millimole per liter,Blood glucose 2.5-4.9 mmol/L
473,4433,,Serum T4 level
4579,4431,,MUL
2217,4430,kilogram per square meter,wt/ht2
1418,4403,,a+e/12months
2367,4400,score,/21 Anxiety
18,4399,score,/21 Depression
443,4385,,oz/wk (past)
2679,4372,,Past Week
2227,4372,,Smear Action- Repeat 3 Years
3466,4359,percent,O/E - weight > 20% over ideal
2629,4351,percent,% Pred FEV1
8734,4323,,Glycosylated Hb
3659,4308,millimole per liter,Blood glucose 5-6.9 mmol/L
3138,4281,,ms
781,4278,,Urine examination
904,4274,,w
7067,4273,trillion per liter,x 10?'12/l
877,4251,milligram per milligram,mg/mg
1861,4234,,umol/g(creat)
1363,4233,,mpl-u/ml
4321,4233,,INR U
4150,4230,,repeat drugs
1865,4223,micromole per liter,ummol/L
12166,4198,,CPMS
2582,4176,score,Scale 0-30
1027,4148,,cp @25 deg.C
1108,4133,microgram per deciliter,ug/dL
1413,4121,percent,% normal
2549,4120,,uM/MHb
55,4119,,{cigars}/d
1370,4109,,1(tot)
4096,4104,,i.u.
471,4085,,{spliffs}/d
1258,4081,degree Celsius,deg/C
3638,4075,,LDH (HBD) level
2323,4048,per 24 hours,per 24hour
1385,4043,,av times/24h
7360,4019,,MED3
2102,4012,,PAST 3M
4830,4006,,days/last yr
4279,4005,,mcg/min
623,3998,,million/milliliter
463,3994,,Blood group O
2766,3966,percent,O/E - weight within 10% ideal
1206,3953,,lmin
1519,3951,,NO
973,3949,,severity/10
1679,3946,,Serum cholesterol borderline
536,3929,,Blood group A
2878,3923,,cig day
20091,3908,,ugHB/g
2544,3902,,exacerbations
1926,3891,liter,lts
1320,3888,,Days/mth
1486,3884,,M/ml
1232,3883,percent,% of PEFR
3106,3867,,micromol/
2855,3865,picomole per liter,pmolL
511,3846,,Urine test for glucose
1017,3844,,total mcg/day
2699,3836,,WBC/mm3
3859,3825,,pack/years
15,3803,score,/19
630,3741,micromole per mole of hemoglobin,umol/mol Hb
6176,3728,,(H)
2210,3721,micromole per millimole,umol/mmol
692,3717,,Blood chemistry normal
1062,3702,degree Celsius,deg. C.
492,3691,,Rhesus positive
481,3690,,Serum vitamin B12
1461,3686,,No./yr
3376,3682,,#M ( )/L
2719,3678,,Hads
4118,3676,billion per liter,10/9 l(5%)
1430,3670,,days this wk.
2792,3649,score,/36
1135,3624,,Urine blood test = negative
1501,3614,score,35
1428,3612,,OD
1353,3600,,x10^6/mL Semen
4144,3584,billion per liter,10/9 l(1%)
22104,3573,,
4134,3554,billion per liter,10/9 l(3%)
883,3551,,MPLU
5671,3550,,today
1806,3544,,mill/ml
112,3537,,Cervical smear - candida
3973,3532,,portions/wk
2619,3526,,Serum cholesterol NOS
3981,3513,,portions a day
1507,3510,per trillion,x10*12/
2687,3507,,mpa/sec
145,3501,,grams/wk
7056,3490,,kg lb oz
3715,3485,,Stool sample sent to lab.
1449,3474,million per milliliter,x10*6/ml
694,3455,,Cervical swab taken
3003,3444,trillion,10*12
4659,3436,,1012L
1127,3428,,puffs/wk
712,3426,,Blood chemistry - general
3700,3406,,Serum proteins normal
1367,3398,,total cholest:HDL
379,3395,,per hpf
2051,3360,international unit per liter,IU/1
1517,3359,milligram per millimole of creatinine,mg/mmolCr
2218,3355,score,Total FAST score
2126,3349,,{Points}
1349,3315,degree Fahrenheit,degrees F
739,3307,,square cm
4548,3303,unit per liter,U/L@37
9634,3296,,Plasma total protein
1678,3288,,d/3 mnths
1859,3283,kilogram per square meter,Body mass index 30+ - obesity
1727,3279,percent,% predicted
4350,3265,,pevr
3549,3256,,Serum / plasma proteins
320,3248,,KA/dL
3892,3226,,kcal/d
2418,3226,ratio,Total cholesterol:HDL ratio
901,3218,,visits
1777,3216,,cigars / day
4561,3206,,MMH
1378,3204,percent,% normal forms
4130,3201,billion per liter,10/9 l(0%)
3488,3197,,Cervical smear result NOS
7082,3189,billion per liter,10/9 l(18%)
484,3189,,Hb estimation
2828,3189,,mm mg
647,3186,,Serum lipids high
4217,3175,,1000million/l
3437,3174,,Glucometer blood sugar
265,3165,,Serology: organism
417,3156,international unit per deciliter,[iU]/dL
1106,3154,,puffs/week
4179,3153,,microl/L
518,3149,,Cerv.smear: mod.dyskaryosis
7083,3143,billion per liter,10/9 l(74%)
2110,3139,,NMOL/MMOL C
1673,3124,million,million
1881,3116,,raised
1637,3106,,packyears
1658,3106,,no./week
1165,3104,,GPL
4528,3065,,api
2859,3064,,condoms
1680,3061,,*
2375,3059,nanomole,nmol
2592,3059,,pgms/ml
554,3057,,L/d
2346,3045,,risk
1793,3038,,ugE1/g stool
6612,3037,,mg per week
6618,3029,,1.3-5.2
810,3024,centimeter,cms.
2857,3018,microgram of fibrinogen equivalent unit per milliliter,ug/ml FEU
6298,3011,,hct
609,3011,,Urea - blood
706,3004,,Fasting blood lipids
1443,2998,score,/29
6181,2988,,ml/daily
286,2987,micromole per mole of hemoglobin,umol/mol{Hb}
1664,2975,,Quit Attempts
6372,2973,score,PHQ score
1884,2963,,nm/ml/mi
1773,2955,,respirations/minute
754,2952,,Swab sent to Lab
2136,2944,,25
4712,2936,,GIGS/DAY
3648,2926,,Serum triglycerides normal
1810,2913,,mL/min/mmHg/L
2728,2911,per 24 hours,/day (Ex)
1468,2908,,K
1470,2905,,Level
2243,2903,,Urine protein test = trace
3554,2901,percent,Hb. A1C > 10% - bad control
3815,2878,milliliter per minute per 1.73 meter,mls/min/1.73m
529,2877,,Renal function tests
898,2860,,See below
1096,2857,,units per wk
418,2857,,fits/yr
1150,2836,,=
11071,2829,,mms/hg
488,2819,,Urine dipstick test
396,2818,,m{U}/L
926,2813,,per diem
1925,2809,nanomole per liter,nanomoles/l
1030,2801,,NUMBER
13683,2791,,advice
1284,2788,micromole per minute,umol/min
2573,2785,nanogram per deciliter,ng/dL
8824,2777,,Rdw
3435,2776,,Blood chemistry NOS
1193,2762,,gm
1894,2760,kilogram per square meter,KG/M
2336,2756,,:1
1631,2733,,mgA/L
19,2722,score,/23
2204,2717,percent,% bound
1087,2704,,Fasting
753,2692,,Cerv.smear: severe dyskaryosis
1577,2683,,GPL/ML
3439,2681,,Blood sent for serum lipids
1024,2665,,Puffs/24 hours
4325,2663,,P/Month
2429,2661,,H x10*9/L
3305,2661,,EARLI score
1798,2661,liter per minute,l/min.
1381,2652,score,/18
349,2638,,ml/s/m^2
1185,2634,,ÃÂµg/L
6709,2633,,Serum creatinine normal
1795,2632,microgram,micrograms
509,2629,,Full blood count abnormal
1770,2620,milliosmole,mOsmol
1052,2607,score,AUDIT score
1319,2603,,number / year
2303,2595,degree Celsius,deg C.
2119,2594,,{units}/day
850,2585,score,/40 (8+ significant)
7718,2578,,Blood chemistry - general NOS
3351,2566,,per 3m
1204,2563,,109/l
1362,2562,,mmol/sample
1575,2560,,mg/100mL
1092,2557,milliliter per 24 hours,ml/24hr
1114,2556,,Hrs/Minutes
1057,2550,centimeter,cm.
958,2549,score,Anxiety Score
4200,2545,,Urine ketone test negative
1229,2545,,Depression Score
8823,2540,,courses/12 Months
4059,2517,,mg/mM
1355,2514,,/3 quest<1month
1943,2509,,x10/l
2852,2501,milliliter per minute per 1.73 square meter,mLmn1.73m2
3645,2499,millimole per liter,Blood glucose 7-9.9 mmol/L
1786,2497,,I.U
1347,2487,,x10^-2mP.s
6585,2486,milligram per millimole of creatinine,mg/mmol (c
704,2472,,Cervical smear - inflam. NOS
13390,2470,,X 109/L (
4315,2459,year,Yrs.
24665,2459,,/microlitre
641,2451,,Cervical smear - wart virus
2754,2439,score,PHQ-9
338,2419,year,y
447,2417,,Cervical smear result
1811,2417,,/ 27
2421,2413,per cubic millimeter,/cmm
8771,2412,,cig/day (past)
7336,2405,,miu/1
1580,2394,,pack-years
22107,2386,billion per liter,10/9 l      l
607,2381,,Urine protein test = +
4165,2380,,mPas 25C.
888,2380,heartbeat,Beats per min
135,2371,,FSH level
1771,2368,,nmol/L/h
460,2354,,Liver function test
4424,2336,,CHOL/HDL
1129,2323,million per liter,10*6L
2904,2308,,sutures
12145,2308,,24hr
3697,2288,,Haemoglobin normal
2268,2285,,in the last year
6116,2271,,Corrected serum calcium level
978,2263,,mPas @ 25 deg.C
4680,2262,score,Score out of 21
6947,2259,per year,/years
5795,2257,,seconds to pink up
2142,2252,nanomole per liter,nmolL
1008,2229,degree Celsius,^C
1438,2218,kilogram per square meter,kg/m*m
2630,2216,ratio,APTT RATIO
1247,2209,,cent.
990,2209,,nights stayed
3407,2198,,resps/min
1748,2192,percent,%HbA1c
553,2188,,CK - creatine kinase level
945,2182,,"h1,ok2,g3"
6789,2174,percent,% of predicted
985,2173,international unit per 24 hours,iu/d
357,2168,,mOsm/kgH20
652,2167,,Faeces examination - general
7104,2165,,years @ 20cig/d
4815,2163,,Urine blood test
14666,2160,,Completed
1800,2151,,g/wk
2368,2136,,nmol/collection
4178,2130,,microm/L
1739,2128,,Cig Per Day
1729,2127,,ug/L PRC
2322,2123,,see handbook
2976,2114,per billion,x10 9
2072,2113,microgram,ug
4477,2110,parts per million,part/million
1044,2108,,--
3452,2107,,V.D.R.L. test
3832,2100,,(Rate 0-5)
1346,2094,,x10^6/ejaculate
1387,2094,,{Titre}
3663,2070,,Haematology NOS
1724,2064,kilocalorie,Kcal
3985,2059,,No/3mon
1266,2058,,phq level
3850,2057,,unknown unit
4875,2056,,SYMPTOMS
2930,2050,,Laboratory procedure performed
1209,2048,millimeter mercury column,mm.Hg
1623,2045,micromole per 24 hours,UMOL/24 HRS
2158,2039,,umol/spec
1703,2024,,mg/mol
605,2016,,Blood test due
6427,2012,percent,% Haemoglobin
1613,2006,millimole per liter,mmo1/1
2201,2004,,10^6/ejac
2951,2001,,INR (Yellow Book)
5885,1995,,Serum lipids borderline raised
1110,1991,,Occasional
4751,1989,,Tones
85,1986,,20
1717,1984,gram,grms
4060,1980,,cig
1526,1971,,scored
3494,1970,millimole per liter,Blood glucose 10-13.9 mmol/L
705,1970,,Rheumatoid factor negative
1196,1956,,(ph)
2434,1955,,nM/mM Crea
2219,1950,,Cervical smear-severe inflamm.
2577,1942,,150
1862,1940,percent,% of normal
2850,1936,,Portions Per Day
903,1931,,10^6/ejaculate
778,1923,,Skin wound swab taken
2532,1923,,days/yr
1877,1916,picomole,picmoles
1692,1902,,PAST YEAR
2646,1902,,Ca cervix screen NOS
2400,1893,,kg.
240,1876,,no/week
668,1864,,Urinalysis = abnormal
2551,1862,,100WBC
1497,1857,,(no UoM)
3689,1853,,MCV - normal
4166,1851,milliliter per minute per 1.73 square meter,mL/min/1.73 sq.m
2952,1849,milligram per 24 hours,mg/24h
716,1846,,Throat swab taken
4509,1837,,fits per month
6573,1836,trillion per liter,x10 12/1
1833,1830,centimeter,cm's
794,1827,millimole per 24 hours,mmol/24hrs
1214,1811,femtoliter,f1
562,1802,,Urine sample sent to Lab
768,1802,,Prolactin level
314,1800,,tubes
2384,1795,score,PHQ9
591,1786,,Serum lithium level
1299,1769,,lit
4786,1764,,ug/g of faeces
1600,1763,,MPL/ml
84,1760,,2
596,1758,,Sputum sent for C/S
1091,1748,,U/year
91,1742,,7
2405,1740,,Date
6568,1738,picomole per liter,picom/l
626,1735,,Stool sample for C/S
629,1731,,years old
2225,1731,,Past 3 Months
8969,1730,,in 12 months
1312,1724,,/(hpf)
3678,1723,,ABO blood grouping
1554,1719,liter per minute,lt/min
2326,1713,gram per liter,g/l (by scanning)
6329,1708,,days/1mth
984,1704,,[oz_av]/d
7995,1703,,LSM Risk Score
3455,1695,,Blood sent for chemistry
762,1691,,Inf mononucleos test negative
1259,1690,,ratioratio
1871,1688,,mths
7150,1676,,pw
3675,1676,,R.A. latex test
2853,1675,,at Term
1070,1673,per minute,per minute
1706,1673,microgram per liter,ug/l (PRC)
420,1671,,k{UA}/L
651,1666,,mmol/min/kPa/L
289,1663,,units/w
3005,1660,liter,liter
1848,1653,unit per week,units/weeks
2357,1645,,mmol/collection
4807,1644,,mg//l
1828,1637,percent,RBC?'s %
4644,1636,,UGL
1593,1622,,pmol/mIU
1074,1622,,copies/ml
789,1621,,Blood urea normal
2700,1618,,past days
2801,1617,,hr.min
2734,1607,,IRAS Study Number
650,1606,,Serum ferritin
18867,1605,,PRINCIPLE
1442,1596,score,/ 12
1137,1594,,Urine sample for organism
1244,1592,nanomole per liter,nmols/l
4629,1576,,ml/l
1639,1575,,MRC grade - muscle power
1778,1572,,Kilos
4003,1564,,Mn/Hg
5742,1562,,pmol/l ...
2423,1561,score,/32
2709,1551,,Faecal occult blood: negative
783,1551,,Serum iron tests
2333,1551,,unit/wk
6237,1550,,Fast Score
6461,1540,,Serum triglycerides NOS
678,1535,,Urine glucose test = +
3687,1533,,Urine glucose test = +++
801,1524,,oCel
1850,1520,,l in 1sec
2922,1520,,thous/ul
4775,1520,percent,% satn.
3411,1520,percent,%(DCCT)
817,1515,,g/24hrs
955,1512,,number/year
1573,1508,,nmol/L/hr
845,1503,,Cigs per day
1845,1502,,x10*9/1
2814,1498,percent,%(A?+B>50)
1852,1497,,Ear swab taken
9542,1493,,Fits/mth
1998,1492,microgram per liter,ug/1
11915,1487,,mg / day
1638,1486,,10*6 cells/L
9783,1485,,mg/week
572,1483,,Blood urate normal
3821,1472,,days this year
9422,1471,,IRAS ID
698,1470,,Rheumatoid factor
1846,1460,,ELISA U
107,1458,,Blood film
3300,1458,,..
1436,1457,,#
