,quality_score,view_certificate_1,view_certificate_2,Cupping Protocol and Descriptors,View Green Analysis Details,Request a Sample,Species,Owner,Country of Origin,Farm Name,Lot Number,Mill,ICO Number,Company,Altitude,Region,Producer,Number of Bags,Bag Weight,In-Country Partner,Harvest Year,Grading Date,Owner.1,Variety,Status,Processing Method,NA,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,NA.1,Uniformity,Clean Cup,Sweetness,Cupper Points,Total Cup Points,NA.2,Moisture,Category One Defects,Quakers,Color,Category Two Defects,NA.3,Expiration,Certification Body,Certification Address,Certification Contact,,Notes
44,86.08,,,,,,Arabica,Jungle Estate,Kenya,JUNGLE ESTATE,,NKG COFFEE MILLS,NIL,Keremara Limited,1754,NYERI,JUNGLE ESTATE,12,60 kg,Kenya Coffee Traders Association,2014,"January 29th, 2015",Jungle Estate,SL28,Completed,Natural / Dry,Sample,8.08,8.08,8,8,7.83,8.08,Sample,10,10,10,8,Sample  86.08,,11%,0 full defects,0,Bluish-Green,2 full defects,,"January 29th, 2016",Kenya Coffee Traders Association,"P.O. Box 646 00100Nairobi, Kenya",Ivy Sarah Nderitu - +254 786 821 621,,
45,86.08,,,,,,Arabica,NUCOFFEE,Brazil,Fazenda Kaquend,,,002/1251/0071,NUCOFFEE,1250m,South of Minas Gerais,Ralph Junqueira,7,60 kg,NUCOFFEE,2011,"December 3rd, 2011",NUCOFFEE,Bourbon,Completed,Semi-washed / Semi-pulped,Sample,8.33,8,8,8,7.75,8,Sample,10,10,10,8,Sample  86.08,,11%,0 full defects,0,Blue-Green,2 full defects,,"December 2nd, 2012",NUCOFFEE,"Av. Nações Unidas, 18.001 - 5° floor",-,,
46,86,,,,,,Arabica,Great Lakes Coffee Uganda,Uganda,Kaasayi,,Great Lakes,0,UCDA,,Eastern Uganda,Kaasay Farmer Group,1,60 kg,Uganda Coffee Development Authority,2014,"October 1st, 2014",Great Lakes Coffee Uganda,,Completed,Semi-washed / Semi-pulped,Sample,8.08,8.08,7.83,7.92,8.08,7.92,Sample,10,10,10,8.08,Sample  86.00,,0%,0 full defects,0,,0 full defects,,"October 1st, 2015",Uganda Coffee Development Authority,"Coffee House, Plot 35, Jinja Road, P.O. Box 7267, Kampala, Uganda",Clare Rwakatogoro - 256-41-256940/233073,,
47,86,,,,,,Arabica,LUSSO LAB,Colombia,Ecobio Colombia,,,NONE,LUSSO COFFEE LAB,"900-1,500m",Tolima,,1,2 kg,Specialty Coffee Association,2013,"March 20th, 2014",LUSSO LAB,Caturra,Completed,Washed / Wet,Sample,7.75,7.92,7.83,8.08,8.08,8.17,Sample,10,10,10,8.17,Sample  86.00,,12%,1 full defects,0,Green,1 full defects,,"March 20th, 2015",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,,
48,86,,,,,,Arabica,LUSSO LAB,Kenya,KIANJAVI,,,NONE,LUSSO COFFEE LAB,1520m-2200m,Kiambu,,1,1 kg,Specialty Coffee Association,2013,"February 6th, 2014",LUSSO LAB,SL28,Completed,Washed / Wet,Sample,7.92,8.17,7.83,8.5,7.5,7.92,Sample,10,10,10,8.17,Sample  86.00,,11%,0 full defects,0,Green,1 full defects,,"February 6th, 2015",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,,
49,86,,,,,,Arabica,AFCA,Uganda,,,,x,Kawacom Ltd,1400-1900M,"Sipi, Mt Elgon",Kawacom,1,60 kg,Africa Fine Coffee Association,2012,"February 13th, 2012",AFCA,Other,Completed,Washed / Wet,Sample,8.25,8,7.83,8.08,8,7.92,Sample,10,10,10,7.92,Sample  86.00,,10%,0 full defects,0,Blue-Green,0 full defects,,"February 12th, 2013",Africa Fine Coffee Association,"P.O.Box 27405, Plot 4, Bazarabuza Drive, Bugolobi, Kampala, Uganda.",Faith Asaji - +256 414 269 140,,
50,86,,,,,,Arabica,Ethiopia Commodity Exchange,Ethiopia,Contact | sidacoop@ethionet.net,,Coffee Processing and Warehouse Enterpri,010/0145,,1500-2000 m,Sidamo,Sidama Coffee Farmers Coop. Union,300,6,Ethiopia Commodity Exchange,2009/2010,"June 17th, 2010",Ethiopia Commodity Exchange,,Completed,,Sample,7.75,8.08,8,8.25,8,8,Sample,10,10,10,7.92,Sample  86.00,,1%,0 full defects,0,,4 full defects,,"June 17th, 2011",Ethiopia Commodity Exchange,"Al-Sam Tower 2, 3rd Floor Lideta, Addis Ababa, Ethiopia",- +251 11 554 7001,,
51,86,,,,,,Arabica,Grounds for Health Admin,United States (Hawaii),Hula Daddy Kona Coffee,,,,,1400ft,Kona,Hula Daddy Kona Coffee,1,2,Specialty Coffee Association,Fall 2009,"May 31st, 2010",Grounds for Health Admin,,Completed,,Sample,8.33,8.17,7.75,8,7.75,7.83,Sample,10,10,10,8.17,Sample  86.00,,0%,0 full defects,0,,0 full defects,,"May 31st, 2011",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,,
52,85.92,,,,,,Arabica,Juan Luis Alvarado Romero,Guatemala,LA ESPERANZA Y ANEXOS,11/23/0252,BENEFICIO IXCHEL,11/23/0252,"UNEX GUATEMALA, S.A.",,NUEVO ORIENTE,MARGARITA AVILA DE NUYENS,80,69 kg,Asociacion Nacional Del Café,2016,"May 16th, 2016",Juan Luis Alvarado Romero,Bourbon,Completed,Washed / Wet,Sample,7.92,8.08,7.92,8.08,8.08,7.83,Sample,10,10,10,8,Sample  85.92,,10%,0 full defects,1,Green,3 full defects,,"May 16th, 2017",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Juan Luis Alvarado Romero - +502 2311.1951,,
53,85.92,,,,,,Arabica,Kawacom Uganda LTD,Uganda,Sipi organic coffee project,,Kawacom (U) Ltd,0,Kawacom uganda LTD,1400-1900,Eastern,Kawacom (U)Ltd,1,60 kg,Uganda Coffee Development Authority,2013,"June 30th, 2014",Kawacom Uganda LTD,SL14,Completed,Natural / Dry,Sample,8.17,8.17,7.92,8.08,7.83,7.75,Sample,10,10,10,8,Sample  85.92,,12%,0 full defects,0,Green,0 full defects,,"June 30th, 2015",Uganda Coffee Development Authority,"Coffee House, Plot 35, Jinja Road, P.O. Box 7267, Kampala, Uganda",Clare Rwakatogoro - 256-41-256940/233073,,
54,85.92,,,,,,Arabica,Exportadora de Cafe Condor S.A,Colombia,,,trilladora Bonanza,3-68-0215,Exportadora de Cafe Condor S.A,1800 msnm,Huila,,275,70 kg,Almacafé,2013,"July 26th, 2013",Exportadora de Cafe Condor S.A,Caturra,Completed,Washed / Wet,Sample,8,8,8,8.17,7.83,8,Sample,10,10,10,7.92,Sample  85.92,,0%,1 full defects,0,Blue-Green,0 full defects,,"July 26th, 2014",Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,,
55,85.83,,,,,,Arabica,Gonzalo Hernandez,Panama,La Berlina Estate,Baby Geisha Washed,Beneficio Casa Ruiz S.A.,,CE Specialty S.A.,1600,Boquete,Plinio Ruiz,37,60 kg,Specialty Coffee Association of Costa Rica,2017,"October 9th, 2017",Gonzalo Hernandez,Gesha,Completed,Washed / Wet,Sample,8,8,7.92,8.08,7.83,8,Sample,10,10,10,8,Sample  85.83,,8%,0 full defects,1,Bluish-Green,0 full defects,,"October 9th, 2018",Specialty Coffee Association of Costa Rica,"Blvd Rohrmoser, de Prisma Dental 200 norte y 25 oeste, casa 21",Noelia Villalobos - (506) 2220 0685,,
56,85.83,,,,,,Arabica,Ibrahim Hussien Speciality Coffee Producer &Export,Ethiopia,,,Burka Gudina,2014/2015,Ibrahim Hussien Specality Coffee Product & Exporter,1800-2000,Oromia,Ibrahim Hussien Specialty Coffee Producer and Exporter,320,60 kg,METAD Agricultural Development plc,2014,"April 4th, 2015",Ibrahim Hussien Speciality Coffee Producer &Export,,Completed,Washed / Wet,Sample,7.83,8.08,7.92,8.08,8,7.92,Sample,10,10,10,8,Sample  85.83,,10%,0 full defects,0,Green,4 full defects,,"April 3rd, 2016",METAD Agricultural Development plc,"BAWA Center, 3rd Floor (Gerji), Addis Ababa, Ethiopia","Aman Adinew (Emebet Dinku) - +251-116-292534, +251-911-519196",,
57,85.83,,,,,,Arabica,Juan Luis Alvarado Romero,Guatemala,VALPARAISO,,BENEFICIO VALPARAISO,11/1886/03,SERTRASA,5000,"ACATENANGO, CHIMALTENANGO",SERTRASA,150,1 kg,Asociacion Nacional Del Café,2012,"July 3rd, 2012",Juan Luis Alvarado Romero,Bourbon,Completed,Washed / Wet,Sample,7.83,8,8,8.17,7.83,8,Sample,10,10,10,8,Sample  85.83,,12%,0 full defects,0,Green,3 full defects,,"July 3rd, 2013",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Juan Luis Alvarado Romero - +502 2311.1951,,
58,85.83,,,,,,Arabica,Juan Luis Alvarado Romero,Guatemala,FINCA EL LIMON,,BENEFICIO SERBEN KM 21.5 CARRETERA A VILLA CANALES,11-853-155,"UNICAFE, S.A",4650,NUEVO ORIENTE ALDEA EL LIMON,WILLIAM ESTUARDO MARTINEZ PACHECO,275,1 kg,Asociacion Nacional Del Café,2012,"June 5th, 2012",Juan Luis Alvarado Romero,Catuai,Completed,Washed / Wet,Sample,8,8,7.83,8.33,7.83,7.83,Sample,10,10,10,8,Sample  85.83,,10%,0 full defects,0,Bluish-Green,1 full defects,,"June 5th, 2013",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Juan Luis Alvarado Romero - +502 2311.1951,,
59,85.75,,,,,,Arabica,SEID DAMTEW COFFEE PLANATAION,Ethiopia,seid damtew coffee export and plantation,320,seid damtew coffee export and plantation,490,Seid Damtew Coffee Planation,,addis ababa,seid damtew coffee export and plantation,320,19200 kg,METAD Agricultural Development plc,2017,"June 23rd, 2017",SEID DAMTEW COFFEE PLANATAION,Caturra,Completed,Natural / Dry,Sample,7.83,8,7.83,8.17,7.92,8,Sample,10,10,10,8,Sample  85.75,,9%,0 full defects,4,None,7 full defects,,"June 23rd, 2018",METAD Agricultural Development plc,"BAWA Center, 3rd Floor (Gerji), Addis Ababa, Ethiopia","Aman Adinew (Emebet Dinku) - +251-116-292534, +251-911-519196",,
60,85.75,,,,,,Arabica,Dane Loraas,Peru,,,,030-0537-2066,Sustainable Harvest,,Cajamarca,,280,5 lbs,Specialty Coffee Association,2013,"January 22nd, 2014",Dane Loraas,,Completed,Washed / Wet,Sample,8,8,8,8.08,7.92,7.75,Sample,10,10,10,8,Sample  85.75,,10%,4 full defects,0,Green,6 full defects,,"January 22nd, 2015",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,,
61,85.75,,,,,,Arabica,"Colbran Coffeelands, Ltd.",Papua New Guinea,Tairora Cherry – Bonta,,Baroida,25072012,CQI,"1,700 mts",Eastern Highlands Province,"Colbran CoffeeLands, Ltd.",7,60 kg,Specialty Coffee Association,2012,"October 25th, 2012","Colbran Coffeelands, Ltd.",,Completed,Washed / Wet,Sample,8.33,8.42,7.83,8.33,8,8.25,Sample,9.33,9.33,10,7.92,Sample  85.75,,12%,0 full defects,0,Bluish-Green,1 full defects,,"October 25th, 2013",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,,
62,85.58,,,,,,Arabica,Atlantic Specialty Coffee,El Salvador,El Majahual,,J. Hill y Cia,09 – 060-24,Atlantic Specialty Coffee,1500 meters,Apaneca Llamantepec,Aida Batlle,275,2 kg,Specialty Coffee Association,2013,"March 18th, 2013",Atlantic Specialty Coffee,Bourbon,Completed,Washed / Wet,Sample,7.92,8.17,8,7.92,7.75,7.83,Sample,10,10,10,8,Sample  85.58,,10%,0 full defects,0,Blue-Green,3 full defects,,"March 18th, 2014",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,,
63,85.58,,,,,,Arabica,LUSSO LAB,El Salvador,Finca La Esmeralda,,"Aqua caliente, J.J. Borja Nathan. S.A",,LUSSO COFFEE LAB,1300~1400 m.s.l,"Ataco, Apaneca - Ilamatepec mountain range",Oscar Roberto Murgas Linares,19,1 kg,Specialty Coffee Association,2012,"January 12th, 2013",LUSSO LAB,Bourbon,Completed,Semi-washed / Semi-pulped,Sample,7.83,8,8,7.75,7.92,8.17,Sample,10,10,10,7.92,Sample  85.58,,11%,0 full defects,0,None,0 full defects,,"January 12th, 2014",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,,
64,85.58,,,,,,Arabica,Kona Pacific Farmers Cooperative,United States (Hawaii),,,,220451,Kona Pacific Farmers Cooperative,,KONA,,8,100 lbs,Specialty Coffee Association,2012,"April 6th, 2012",Kona Pacific Farmers Cooperative,Hawaiian Kona,Completed,Natural / Dry,Sample,7.83,8,7.92,7.75,8.08,8,Sample,10,10,10,8,Sample  85.58,,0%,0 full defects,0,,1 full defects,,"April 6th, 2013",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,,
65,85.5,,,,,,Arabica,EssenceCoffee,Panama,Elida Estate,,Elida Estate,290503,Essence Coffee,1680,Boquete,Lamastus,100,60 kg,Blossom Valley International,2014,"May 23rd, 2015",EssenceCoffee,Caturra,Completed,Natural / Dry,Sample,8,7.75,7.83,7.83,7.67,8.58,Sample,10,10,10,7.83,Sample  85.50,,9%,2 full defects,0,,2 full defects,,"May 22nd, 2016",Blossom Valley International,No.72 Mo-Fan St. Taiwan Zip: 403,Damon Chen - +886-4-23022323,,
66,85.5,,,,,,Arabica,EssenceCoffee,Kenya,Inoi,,Inoi,3707361715,Essence Coffee,1900M,Kirinyaga,,16,60 kg,Blossom Valley International,2014,"May 23rd, 2015",EssenceCoffee,SL28,Completed,Natural / Dry,Sample,7.92,7.92,7.83,8.08,7.83,7.92,Sample,10,10,10,8,Sample  85.50,,10%,0 full defects,0,Green,3 full defects,,"May 22nd, 2016",Blossom Valley International,No.72 Mo-Fan St. Taiwan Zip: 403,Damon Chen - +886-4-23022323,,
67,85.5,,,,,,Arabica,Assefa Belay Coffee Producer,Ethiopia,,,,2015,Assefa Belay Coffee Producer,1800-2000,Oromia,Assefa Belay Coffee Producer,320,60 kg,METAD Agricultural Development plc,2015,"March 31st, 2015",Assefa Belay Coffee Producer,Other,Completed,Natural / Dry,Sample,7.83,8,7.83,7.92,7.83,8.08,Sample,10,10,10,8,Sample  85.50,,12%,0 full defects,0,Green,7 full defects,,"March 30th, 2016",METAD Agricultural Development plc,"BAWA Center, 3rd Floor (Gerji), Addis Ababa, Ethiopia","Aman Adinew (Emebet Dinku) - +251-116-292534, +251-911-519196",,
68,85.5,,,,,,Arabica,Kyagalanyi Ltd,Uganda,Buginyanya,,Kyagalanyi Coffee Ltd,0,Kyagalanyi Coffee Ltd,1600,Bulambuli Eastern region,Kyagalanyi coffee Ltd,320,60 kg,Uganda Coffee Development Authority,2013,"June 26th, 2014",Kyagalanyi Ltd,SL14,Completed,Washed / Wet,Sample,8.33,7.92,7.67,7.92,7.67,7.92,Sample,10,10,10,8.08,Sample  85.50,,12%,0 full defects,0,Green,1 full defects,,"June 26th, 2015",Uganda Coffee Development Authority,"Coffee House, Plot 35, Jinja Road, P.O. Box 7267, Kampala, Uganda",Clare Rwakatogoro - 256-41-256940/233073,,
69,85.5,,,,,,Arabica,Juan Luis Alvarado Romero,Guatemala,ASOPERC,,BENEFICIO EXPORTCAFE AGUA SANTA,11-52-492,"EXPORTCAFE, S.A",5600-5760 METROS,HUEHUETENANGO,ASOCIACION DE PERMACULTORES DE CUILCO (SANTOS LOPEZ MEJIA),250,69 kg,Asociacion Nacional Del Café,2013,"February 26th, 2013",Juan Luis Alvarado Romero,Bourbon,Completed,Washed / Wet,Sample,8,7.83,7.67,8.33,7.83,8,Sample,10,10,10,7.83,Sample  85.50,,11%,0 full defects,0,Green,1 full defects,,"February 26th, 2014",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Juan Luis Alvarado Romero - +502 2311.1951,,
70,85.42,,,,,,Arabica,Assefa Belay Coffee Producer,Ethiopia,,,,2015,Assefa Belay Coffee Producer,1800-2000,Oromia,Assefa Belay Coffee Producer,320,60 kg,METAD Agricultural Development plc,2015,"March 31st, 2015",Assefa Belay Coffee Producer,,Completed,Washed / Wet,Sample,7.75,7.83,7.83,8.17,7.92,7.83,Sample,10,10,10,8.08,Sample  85.42,,10%,0 full defects,0,Green,18 full defects,,"March 30th, 2016",METAD Agricultural Development plc,"BAWA Center, 3rd Floor (Gerji), Addis Ababa, Ethiopia","Aman Adinew (Emebet Dinku) - +251-116-292534, +251-911-519196",,
71,85.42,,,,,,Arabica,Great Lakes Coffee Uganda,Uganda,Chesiyo farmer group,,Great Lakes coffee Uganda,0,Great Lakes Coffee Uganda,1950,Kapchorwa,Chesiyo Farmer group,150,60 kg,Uganda Coffee Development Authority,2013,"June 26th, 2014",Great Lakes Coffee Uganda,SL14,Completed,Washed / Wet,Sample,8.08,8,7.83,7.67,8,7.83,Sample,10,10,10,8,Sample  85.42,,12%,0 full defects,0,Green,5 full defects,,"June 26th, 2015",Uganda Coffee Development Authority,"Coffee House, Plot 35, Jinja Road, P.O. Box 7267, Kampala, Uganda",Clare Rwakatogoro - 256-41-256940/233073,,
72,85.42,,,,,,Arabica,Kona Pacific Farmers Cooperative,United States (Hawaii),,,,220453,Kona Pacific Farmers Cooperative,,KONA,,8,100 lbs,Specialty Coffee Association,2012,"April 6th, 2012",Kona Pacific Farmers Cooperative,Hawaiian Kona,Completed,Natural / Dry,Sample,7.92,7.92,7.75,7.92,7.75,7.92,Sample,10,10,10,8.25,Sample  85.42,,0%,4 full defects,0,,6 full defects,,"April 6th, 2013",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,,
73,85.42,,,,,,Arabica,NUCOFFEE,Brazil,Fazenda Serra de Três Barras,,,002/1251/0072,NUCOFFEE,1250m,South of Minas Gerais,José Vagner Ribeiro Junqueira,5,60 kg,NUCOFFEE,2011,"December 3rd, 2011",NUCOFFEE,Bourbon,Completed,Semi-washed / Semi-pulped,Sample,8,8,8,7.67,7.75,8,Sample,10,10,10,8,Sample  85.42,,11%,0 full defects,0,Blue-Green,1 full defects,,"December 2nd, 2012",NUCOFFEE,"Av. Nações Unidas, 18.001 - 5° floor",-,,
74,85.42,,,,,,Arabica,Grounds for Health Admin,El Salvador,Sierra Nevada,,Beneficio Las Tres Puertas,9-060-60D-L-1D,,1400 M,Apaneca Ilamatepec Mountain Range,J. Hill y Cia SA de CV,2,"1 kg,lbs",Specialty Coffee Association,2009 / 2010,"May 31st, 2010",Grounds for Health Admin,,Completed,,Sample,8.08,7.83,7.83,8.08,7.83,7.83,Sample,10,10,10,7.92,Sample  85.42,,1%,0 full defects,0,,0 full defects,,"May 31st, 2011",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,,
75,85.33,,,,,,Arabica,Yunnan Coffee Exchange,China,Pu'er City Longke Coffee Co.Ltd,YNC-16115,Pu'er City Longke Coffee Co.Ltd,,Yunnan Coffee Exchange,1700,Yunnan Province Pu'er City Lancang County,Pu'er City Longke Coffee Co.Ltd,3,60 kg,Yunnan Coffee Exchange,2015,"April 6th, 2016",Yunnan Coffee Exchange,Catimor,Completed,Natural / Dry,Sample,8,8,8,7.83,7.83,7.75,Sample,10,10,10,7.92,Sample  85.33,,10%,0 full defects,0,Green,0 full defects,,"April 6th, 2017",Yunnan Coffee Exchange,"Warehouse of YCE, Chuangye Road, Munaihe Industrial Park, Pu'er Yunnan Province 665000",Zooey Li - +8608792891121,,
76,85.33,,,,,,Arabica,EssenceCoffee,Guatemala,El Injerto S.A.,,El Injerto S.A.,11999144,Essence Coffee,1770,Huehuetenango,Arturo Aguirre,36,30 kg,Blossom Valley International,2014,"May 23rd, 2015",EssenceCoffee,Pacamara,Completed,Natural / Dry,Sample,7.83,7.75,7.83,7.67,7.83,8.58,Sample,10,10,10,7.83,Sample  85.33,,11%,0 full defects,0,Green,1 full defects,,"May 22nd, 2016",Blossom Valley International,No.72 Mo-Fan St. Taiwan Zip: 403,Damon Chen - +886-4-23022323,,
77,85.33,,,,,,Arabica,The Coffee Source Inc.,Costa Rica,Several,,Cafe Altura de San Ramon,5-562-0006,The Coffee Source Inc.,1300,West Valley,Cafe Altura de San Ramon,250,3 lbs,Specialty Coffee Association,2014,"May 1st, 2014",The Coffee Source Inc.,Caturra,Completed,Washed / Wet,Sample,7.92,8.08,8,7.92,8,8.08,Sample,10,10,9.33,8,Sample  85.33,,0%,0 full defects,0,Bluish-Green,0 full defects,,"May 1st, 2015",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,,
78,85.33,,,,,,Arabica,The Coffee Source Inc.,Costa Rica,SEVERAL,,CAFE DE ALTURA SAN RAMON,5-562-0016,The Coffee Source Inc.,1300 msnm,SAN RAMON,SEVERAL,250,3 lbs,Specialty Coffee Association,2014,"May 1st, 2014",The Coffee Source Inc.,Caturra,Completed,Washed / Wet,Sample,8,7.58,7.58,7.67,8.08,8.5,Sample,10,10,10,7.92,Sample  85.33,,10%,0 full defects,0,Bluish-Green,2 full defects,,"May 1st, 2015",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,,
79,85.33,,,,,,Arabica,RASHID MOLEDINA & CO. (MSA) LTD.,Kenya,,,,37/672/0017,RASHID MOLEDINA & CO. (MSA) LTD,above 1600 M,Central Kenya - Nyeri,Kianjogu - Rutuma F.C.S. Ltd.,20,60 kg,Kenya Coffee Traders Association,2012,"April 19th, 2013",RASHID MOLEDINA & CO. (MSA) LTD.,SL34,Completed,Washed / Wet,Sample,7.83,8.08,7.75,8.08,7.92,7.75,Sample,10,10,10,7.92,Sample  85.33,,0%,0 full defects,0,Green,2 full defects,,"April 19th, 2014",Kenya Coffee Traders Association,"P.O. Box 646 00100Nairobi, Kenya",Ivy Sarah Nderitu - +254 786 821 621,,
80,85.33,,,,,,Arabica,Ibero Kenya Limited,Kenya,,,NKG/CK/HC/SS/KCCM,37/00597/0252 - AB FAQ Q certified,Ibero Kenya Limited,Above 1200 M,Blend - Central & western Kenya,Blend from various Producers,300,60 kg,Kenya Coffee Traders Association,2012,"March 12th, 2013",Ibero Kenya Limited,SL34,Completed,Washed / Wet,Sample,8,7.92,7.92,8.08,7.83,7.75,Sample,10,10,10,7.83,Sample  85.33,,0%,0 full defects,0,Green,6 full defects,,"March 12th, 2014",Kenya Coffee Traders Association,"P.O. Box 646 00100Nairobi, Kenya",Ivy Sarah Nderitu - +254 786 821 621,,
81,85.33,,,,,,Arabica,Ethiopia Commodity Exchange,Ethiopia,Phone Number | 0911-513824 email: gmt.ft,,,010/0157,,,Yirgacheffe,"Contact name | Egziabhez Mezgebe, GMT Industrial Plc",360,6 kg,Ethiopia Commodity Exchange,2009/2010,"June 17th, 2010",Ethiopia Commodity Exchange,,Completed,,Sample,7.83,7.83,7.92,8.08,7.75,7.83,Sample,10,10,10,8.08,Sample  85.33,,5%,0 full defects,0,,2 full defects,,"June 17th, 2011",Ethiopia Commodity Exchange,"Al-Sam Tower 2, 3rd Floor Lideta, Addis Ababa, Ethiopia",- +251 11 554 7001,,
82,85.33,,,,,,Arabica,Ethiopia Commodity Exchange,Ethiopia,,,,010/0001/0022,,,Yirgacheffe,Contact name | Hailu Gebre Hiwot,300,6,Ethiopia Commodity Exchange,2009/2010,"June 17th, 2010",Ethiopia Commodity Exchange,Typica,Completed,,Sample,7.92,7.83,7.75,8.33,7.75,7.75,Sample,10,10,10,8,Sample  85.33,,10%,0 full defects,0,,3 full defects,,"June 17th, 2011",Ethiopia Commodity Exchange,"Al-Sam Tower 2, 3rd Floor Lideta, Addis Ababa, Ethiopia",- +251 11 554 7001,,
83,85.25,,,,,,Arabica,Juan Luis Alvarado Romero,Guatemala,LA ESPERANZA Y ANEXOS,11/23/0177,BENEFICIO IXCHEL,11/23/0177,"UNEX GUATEMALA, S.A.",,ORIENTE,MARGARITA AVILA DE NUYENS,250,69 kg,Asociacion Nacional Del Café,2016,"April 27th, 2016",Juan Luis Alvarado Romero,Bourbon,Completed,,Sample,8,7.92,7.75,8,7.92,7.83,Sample,10,10,10,7.83,Sample  85.25,,10%,0 full defects,2,Green,2 full defects,,"April 27th, 2017",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Juan Luis Alvarado Romero - +502 2311.1951,,
84,85.25,,,,,,Arabica,Exportadora de Cafe Condor S.A,Colombia,varios,,trilladora Agricola de Santander-Bucaramanga,3-68-0102,Exportadora de Cafe Condor S.A,1550 msnm,santander,varios,275,70 kg,Almacafé,2015,"April 8th, 2015",Exportadora de Cafe Condor S.A,Caturra,Completed,Washed / Wet,Sample,8.17,7.92,7.83,8,7.58,7.83,Sample,10,10,10,7.92,Sample  85.25,,11%,0 full defects,0,Green,0 full defects,,"April 7th, 2016",Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,,
85,85.25,,,,,,Arabica,Compañia Colombiana Agroindustrial S.A,Colombia,,,Trilladora Bonanza,3-79-0634,ecom cca sa,1550,Santander,,250,70 kg,Almacafé,2014,"January 17th, 2014",Compañia Colombiana Agroindustrial S.A,Caturra,Completed,Natural / Dry,Sample,7.58,8.08,7.92,7.83,8,7.92,Sample,10,10,10,7.92,Sample  85.25,,12%,0 full defects,0,Green,2 full defects,,"January 17th, 2015",Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,,
86,85.17,,,,,,Arabica,"Nomura Trading Co., Ltd.",Indonesia,,,,,"Nomura Trading Co., Ltd.",1250-1400 meter,Lintong,,54,60 kg,Specialty Coffee Association,2012,"November 26th, 2012","Nomura Trading Co., Ltd.",Sumatra Lintong,Completed,Semi-washed / Semi-pulped,Sample,7.75,7.83,7.67,8,8.08,7.83,Sample,10,10,10,8,Sample  85.17,,11%,0 full defects,0,Green,3 full defects,,"November 26th, 2013",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,,
